board_id,x_left_ft,y_bottom_ft,install_row,row_index,col_index,tag_ids
B01,11.0,4.0,1,0,0,0;1;2;3
B02,23.0,4.0,1,0,1,4;5;6;7
B03,35.0,4.0,1,0,2,8;9;10;11
B04,47.0,4.0,1,0,3,12;13;14;15
B05,59.0,4.0,1,0,4,16;17;18;19
B06,71.0,4.0,1,0,5,20;21;22;23
B07,83.0,4.0,1,0,6,24;25;26;27
B08,11.0,10.0,2,1,0,28;29;30;31
B09,23.0,10.0,2,1,1,32;33;34;35
B10,35.0,10.0,2,1,2,36;37;38;39
B11,47.0,10.0,2,1,3,40;41;42;43
B12,59.0,10.0,2,1,4,44;45;46;47
B13,71.0,10.0,2,1,5,48;49;50;51
B14,83.0,10.0,2,1,6,52;53;54;55
B15,11.0,15.0,3,2,0,56;57;58;59
B16,23.0,15.0,3,2,1,60;61;62;63
B17,35.0,15.0,3,2,2,64;65;66;67
B18,47.0,15.0,3,2,3,68;69;70;71
B19,59.0,15.0,3,2,4,72;73;74;75
B20,71.0,15.0,3,2,5,76;77;78;79
B21,83.0,15.0,3,2,6,80;81;82;83
B22,11.0,21.0,4,3,0,84;85;86;87
B23,23.0,21.0,4,3,1,88;89;90;91
B24,35.0,21.0,4,3,2,92;93;94;95
B25,47.0,21.0,4,3,3,96;97;98;99
B26,59.0,21.0,4,3,4,100;101;102;103
B27,71.0,21.0,4,3,5,104;105;106;107
B28,83.0,21.0,4,3,6,108;109;110;111
