camera_id,row_index,col_index,x_center_ft,y_center_ft,x_min_ft,x_max_ft,y_min_ft,y_max_ft
C01,0,0,6.0,2.5,-1.0,13.0,-1.0,6.0
C02,0,1,18.0,2.5,11.0,25.0,-1.0,6.0
C03,0,2,30.0,2.5,23.0,37.0,-1.0,6.0
C04,0,3,42.0,2.5,35.0,49.0,-1.0,6.0
C05,0,4,54.0,2.5,47.0,61.0,-1.0,6.0
C06,0,5,66.0,2.5,59.0,73.0,-1.0,6.0
C07,0,6,78.0,2.5,71.0,85.0,-1.0,6.0
C08,0,7,90.0,2.5,83.0,97.0,-1.0,6.0
C09,1,0,6.0,8.0,-1.0,13.0,4.5,11.5
C10,1,1,18.0,8.0,11.0,25.0,4.5,11.5
C11,1,2,30.0,8.0,23.0,37.0,4.5,11.5
C12,1,3,42.0,8.0,35.0,49.0,4.5,11.5
C13,1,4,54.0,8.0,47.0,61.0,4.5,11.5
C14,1,5,66.0,8.0,59.0,73.0,4.5,11.5
C15,1,6,78.0,8.0,71.0,85.0,4.5,11.5
C16,1,7,90.0,8.0,83.0,97.0,4.5,11.5
C17,2,0,6.0,13.5,-1.0,13.0,10.0,17.0
C18,2,1,18.0,13.5,11.0,25.0,10.0,17.0
C19,2,2,30.0,13.5,23.0,37.0,10.0,17.0
C20,2,3,42.0,13.5,35.0,49.0,10.0,17.0
C21,2,4,54.0,13.5,47.0,61.0,10.0,17.0
C22,2,5,66.0,13.5,59.0,73.0,10.0,17.0
C23,2,6,78.0,13.5,71.0,85.0,10.0,17.0
C24,2,7,90.0,13.5,83.0,97.0,10.0,17.0
C25,3,0,6.0,19.0,-1.0,13.0,15.5,22.5
C26,3,1,18.0,19.0,11.0,25.0,15.5,22.5
C27,3,2,30.0,19.0,23.0,37.0,15.5,22.5
C28,3,3,42.0,19.0,35.0,49.0,15.5,22.5
C29,3,4,54.0,19.0,47.0,61.0,15.5,22.5
C30,3,5,66.0,19.0,59.0,73.0,15.5,22.5
C31,3,6,78.0,19.0,71.0,85.0,15.5,22.5
C32,3,7,90.0,19.0,83.0,97.0,15.5,22.5
C33,4,0,6.0,24.5,-1.0,13.0,21.0,28.0
C34,4,1,18.0,24.5,11.0,25.0,21.0,28.0
C35,4,2,30.0,24.5,23.0,37.0,21.0,28.0
C36,4,3,42.0,24.5,35.0,49.0,21.0,28.0
C37,4,4,54.0,24.5,47.0,61.0,21.0,28.0
C38,4,5,66.0,24.5,59.0,73.0,21.0,28.0
C39,4,6,78.0,24.5,71.0,85.0,21.0,28.0
C40,4,7,90.0,24.5,83.0,97.0,21.0,28.0
