board_id,visible_camera_count,camera_ids
B01,4,C01;C02;C09;C10
B02,4,C02;C03;C10;C11
B03,4,C03;C04;C11;C12
B04,4,C04;C05;C12;C13
B05,4,C05;C06;C13;C14
B06,4,C06;C07;C14;C15
B07,4,C07;C08;C15;C16
B08,4,C09;C10;C17;C18
B09,4,C10;C11;C18;C19
B10,4,C11;C12;C19;C20
B11,4,C12;C13;C20;C21
B12,4,C13;C14;C21;C22
B13,4,C14;C15;C22;C23
B14,4,C15;C16;C23;C24
B15,4,C17;C18;C25;C26
B16,4,C18;C19;C26;C27
B17,4,C19;C20;C27;C28
B18,4,C20;C21;C28;C29
B19,4,C21;C22;C29;C30
B20,4,C22;C23;C30;C31
B21,4,C23;C24;C31;C32
B22,4,C25;C26;C33;C34
B23,4,C26;C27;C34;C35
B24,4,C27;C28;C35;C36
B25,4,C28;C29;C36;C37
B26,4,C29;C30;C37;C38
B27,4,C30;C31;C38;C39
B28,4,C31;C32;C39;C40
