camera_id,visible_board_count,board_ids
C01,1,B01
C02,2,B01;B02
C03,2,B02;B03
C04,2,B03;B04
C05,2,B04;B05
C06,2,B05;B06
C07,2,B06;B07
C08,1,B07
C09,2,B01;B08
C10,4,B01;B02;B08;B09
C11,4,B02;B03;B09;B10
C12,4,B03;B04;B10;B11
C13,4,B04;B05;B11;B12
C14,4,B05;B06;B12;B13
C15,4,B06;B07;B13;B14
C16,2,B07;B14
C17,2,B08;B15
C18,4,B08;B09;B15;B16
C19,4,B09;B10;B16;B17
C20,4,B10;B11;B17;B18
C21,4,B11;B12;B18;B19
C22,4,B12;B13;B19;B20
C23,4,B13;B14;B20;B21
C24,2,B14;B21
C25,2,B15;B22
C26,4,B15;B16;B22;B23
C27,4,B16;B17;B23;B24
C28,4,B17;B18;B24;B25
C29,4,B18;B19;B25;B26
C30,4,B19;B20;B26;B27
C31,4,B20;B21;B27;B28
C32,2,B21;B28
C33,1,B22
C34,2,B22;B23
C35,2,B23;B24
C36,2,B24;B25
C37,2,B25;B26
C38,2,B26;B27
C39,2,B27;B28
C40,1,B28
